subject,question_id,gold,def8_tok,def8_lat_s,gate39_tok,gate39_lat_s,tok_delta(gate-def),lat_delta(gate-def)
physics,9044,I,2281,115.7,2149,127.8,-132,12.1
physics,9045,D,1658,83.3,1881,110.9,223,27.6
physics,9046,D,1299,65.5,1112,67.0,-187,1.5
physics,9047,B,736,38.2,522,34.5,-214,-3.7
physics,9048,J,2099,115.9,1966,127.7,-133,11.7
physics,9049,F,1697,90.9,1696,106.9,-1,15.9
physics,9050,G,5585,321.2,4215,266.4,-1370,-54.8
physics,9051,E,4593,253.7,3390,208.7,-1203,-45.0
physics,9052,C,3957,214.9,3067,190.0,-890,-24.9
physics,9053,J,4959,277.7,4441,282.6,-518,4.8
physics,9054,H,1718,85.0,2059,120.7,341,35.8
physics,9055,F,2866,147.0,2919,176.5,53,29.5
physics,9056,I,2042,102.6,3009,182.5,967,79.9
physics,9057,D,1636,84.3,1596,97.7,-40,13.3
physics,9058,E,4762,274.8,3930,255.6,-832,-19.2
psychology,1986,E,2087,116.6,4452,287.0,2365,170.4
psychology,1988,E,2327,125.9,1992,117.0,-335,-9.0
psychology,1990,B,2089,110.4,1642,94.1,-447,-16.2
psychology,1991,G,2402,129.7,1849,107.8,-553,-21.8
psychology,1992,D,1500,77.4,1473,83.1,-27,5.7
psychology,1993,J,1852,99.0,2216,129.4,364,30.4
psychology,1994,F,2417,134.2,1497,91.2,-920,-43.0
psychology,1995,G,937,52.3,2384,140.4,1447,88.1
psychology,1996,B,1333,68.8,1230,69.5,-103,0.8
psychology,1997,A,1209,65.2,897,54.7,-312,-10.5
psychology,1998,B,1724,89.6,1798,102.1,74,12.4
psychology,2000,H,1951,107.3,1852,111.2,-99,3.9
